Tiempo(s),Voltaje_PC,Voltaje_ESP32,Setpoint_V,Estado,UP,DOWN,MOTOR_REAL,MANUAL_CMD,PURGA_TIMER
0.10,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
0.26,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
0.51,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
0.76,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
1.01,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
1.26,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
1.51,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
1.77,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
2.02,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
2.27,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
2.52,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
2.77,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
3.03,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
3.27,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
3.53,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
3.78,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
4.03,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
4.28,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
4.54,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
4.79,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
5.04,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
5.29,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
5.52,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
5.54,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
5.80,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
6.04,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
6.30,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
6.55,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
6.80,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
7.05,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
7.30,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
7.56,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
7.81,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
8.06,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
8.31,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
8.56,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
8.82,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
9.07,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
9.32,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
9.57,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
9.82,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
10.08,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
10.33,0.00,0.00,121.00,ARCO APAGADO,0,0,1,1,0
10.41,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
10.42,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
10.68,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
10.93,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
11.18,0.00,0.00,121.00,ARCO APAGADO,0,0,0,0,0
